
Host: macRoot.attlocal.net

Timers On : Tue Jul 14 07:22:09 2020
Timers Off: Tue Jul 14 07:25:05 2020

Wall Time:      175.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.000w      6 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     14 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w     39 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     28 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 20:04:34 2020
Timers Off: Wed Jul 15 20:37:44 2020

Wall Time:     1990.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.017u      0.133s      1.397w     64 calls
DFH: initialize()                   :      5.383u      0.283s      3.993w     64 calls
DFH: AO Construction                :      0.033u      0.000s      0.059w     64 calls
DFH: AO-Met. Contraction            :      0.000u      0.017s      0.005w     64 calls
HF: Form core H                     :      0.050u      0.150s      0.214w     64 calls
HF: Form S/X                        :      0.000u      0.017s      0.016w     64 calls
HF: Guess                           :     13.983u      0.767s     10.055w     64 calls
SAD Guess                           :     13.667u      0.750s      9.821w     64 calls
HF: Form G                          :      0.300u      0.033s      0.134w    524 calls
JK: D                               :      0.033u      0.000s      0.007w    524 calls
JK: USO2AO                          :      0.050u      0.000s      0.024w    524 calls
JK: JK                              :      0.133u      0.017s      0.063w    524 calls
DFH: compute_JK()                   :      0.117u      0.017s      0.058w    524 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w    524 calls
DFH: compute_J                      :      0.050u      0.000s      0.011w    524 calls
DFH: compute_K                      :      0.017u      0.000s      0.031w    524 calls
JK: AO2USO                          :      0.017u      0.000s      0.007w    524 calls
HF: Form F                          :      0.017u      0.000s      0.012w    524 calls
HF: Form D                          :      0.000u      0.000s      0.007w    524 calls
HF: DIIS                            :      0.650u      0.200s      0.657w    460 calls
DIISManager::add_entry              :      0.050u      0.150s      0.110w    460 calls
DIISManager::extrapolate            :      0.100u      0.033s      0.095w    460 calls
bMatrix setup                       :      0.033u      0.033s      0.034w    460 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.029w    460 calls
New vector                          :      0.000u      0.000s      0.022w    460 calls
HF: Form C                          :      0.033u      0.017s      0.035w    460 calls
CIWave: CIvect write                :      0.000u      0.000s      0.006w    238 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.008w    663 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    136 calls
CIWave: s3                          :      0.000u      0.000s      0.003w    476 calls
ccenergy                            :      3.283u     11.400s     10.133w     15 calls
F build                             :      0.100u      0.100s      0.196w    161 calls
Wmbej build                         :      0.150u      0.100s      0.218w    161 calls
C->Wmbej                            :      0.000u      0.033s      0.020w    161 calls
F->Wmbej                            :      0.033u      0.033s      0.072w    161 calls
E->Wmbej                            :      0.050u      0.000s      0.057w    161 calls
X->Wmbej                            :      0.017u      0.017s      0.053w    161 calls
Z                                   :      0.000u      0.000s      0.012w    161 calls
T2 Build                            :      0.250u      0.233s      0.412w    161 calls
BT2                                 :      0.033u      0.050s      0.079w    161 calls
ABCD:new                            :      0.033u      0.050s      0.078w    161 calls
ABCD:S                              :      0.017u      0.017s      0.023w    161 calls
ABCD:A                              :      0.017u      0.000s      0.011w    161 calls
ABCD:axpy                           :      0.000u      0.000s      0.016w    161 calls
FT2                                 :      0.033u      0.000s      0.019w    161 calls
WmbejT2                             :      0.083u      0.117s      0.113w    161 calls
CT2                                 :      0.033u      0.033s      0.120w    161 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.017u      0.133s      1.397w     64 calls
DFH: initialize()                   :      5.383u      0.283s      3.993w     64 calls
| DFH: AO Construction              :      0.033u      0.000s      0.059w     64 calls
| DFH: AO-Met. Contraction          :      0.000u      0.017s      0.005w     64 calls
HF: Form core H                     :      0.050u      0.150s      0.214w     64 calls
HF: Form S/X                        :      0.000u      0.017s      0.016w     64 calls
HF: Guess                           :     13.983u      0.767s     10.055w     64 calls
| SAD Guess                         :     13.667u      0.750s      9.821w     64 calls
HF: Form G                          :      0.300u      0.033s      0.134w    524 calls
| JK: D                             :      0.033u      0.000s      0.007w    524 calls
| JK: USO2AO                        :      0.050u      0.000s      0.024w    524 calls
| JK: JK                            :      0.133u      0.017s      0.063w    524 calls
| | DFH: compute_JK()               :      0.117u      0.017s      0.058w    524 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w    524 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.011w    524 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.031w    524 calls
| JK: AO2USO                        :      0.017u      0.000s      0.007w    524 calls
HF: Form F                          :      0.017u      0.000s      0.012w    524 calls
HF: Form D                          :      0.000u      0.000s      0.007w    524 calls
HF: DIIS                            :      0.650u      0.200s      0.657w    460 calls
| DIISManager::add_entry            :      0.050u      0.150s      0.110w    460 calls
| DIISManager::extrapolate          :      0.100u      0.033s      0.095w    460 calls
| | bMatrix setup                   :      0.033u      0.033s      0.034w    460 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.029w    460 calls
| | New vector                      :      0.000u      0.000s      0.022w    460 calls
HF: Form C                          :      0.033u      0.017s      0.035w    460 calls
CIWave: CIvect write                :      0.000u      0.000s      0.006w    238 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.008w    663 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    136 calls
CIWave: s3                          :      0.000u      0.000s      0.003w    476 calls
ccenergy                            :      3.283u     11.400s     10.133w     15 calls
| F build                           :      0.100u      0.100s      0.196w    161 calls
| Wmbej build                       :      0.150u      0.100s      0.218w    161 calls
| | C->Wmbej                        :      0.000u      0.033s      0.020w    161 calls
| | F->Wmbej                        :      0.033u      0.033s      0.072w    161 calls
| | E->Wmbej                        :      0.050u      0.000s      0.057w    161 calls
| | X->Wmbej                        :      0.017u      0.017s      0.053w    161 calls
| Z                                 :      0.000u      0.000s      0.012w    161 calls
| T2 Build                          :      0.250u      0.233s      0.412w    161 calls
| | BT2                             :      0.033u      0.050s      0.079w    161 calls
| | | ABCD:new                      :      0.033u      0.050s      0.078w    161 calls
| | | | ABCD:S                      :      0.017u      0.017s      0.023w    161 calls
| | | | ABCD:A                      :      0.017u      0.000s      0.011w    161 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.016w    161 calls
| | FT2                             :      0.033u      0.000s      0.019w    161 calls
| | WmbejT2                         :      0.083u      0.117s      0.113w    161 calls
| | CT2                             :      0.033u      0.033s      0.120w    161 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 20:38:27 2020
Timers Off: Wed Jul 15 21:58:10 2020

Wall Time:     4783.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.083u      0.017s      0.666w     34 calls
DFH: initialize()                   :      2.733u      0.133s      1.788w     34 calls
DFH: AO Construction                :      0.050u      0.000s      0.029w     34 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w     34 calls
HF: Form core H                     :      0.017u      0.117s      0.085w     34 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     34 calls
HF: Guess                           :      7.050u      0.267s      4.620w     34 calls
SAD Guess                           :      6.900u      0.267s      4.521w     34 calls
HF: Form G                          :      0.050u      0.000s      0.043w    238 calls
JK: D                               :      0.000u      0.000s      0.003w    238 calls
JK: USO2AO                          :      0.017u      0.000s      0.006w    238 calls
JK: JK                              :      0.017u      0.000s      0.020w    238 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.018w    238 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    238 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w    238 calls
DFH: compute_K                      :      0.000u      0.000s      0.006w    238 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w    238 calls
HF: Form F                          :      0.017u      0.000s      0.005w    238 calls
HF: Form D                          :      0.000u      0.000s      0.003w    238 calls
HF: DIIS                            :      0.283u      0.067s      0.221w    204 calls
DIISManager::add_entry              :      0.000u      0.000s      0.040w    204 calls
DIISManager::extrapolate            :      0.067u      0.050s      0.031w    204 calls
bMatrix setup                       :      0.017u      0.017s      0.010w    204 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.010w    204 calls
New vector                          :      0.000u      0.033s      0.007w    204 calls
HF: Form C                          :      0.017u      0.000s      0.013w    204 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w     28 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w     78 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     16 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     56 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.083u      0.017s      0.666w     34 calls
DFH: initialize()                   :      2.733u      0.133s      1.788w     34 calls
| DFH: AO Construction              :      0.050u      0.000s      0.029w     34 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w     34 calls
HF: Form core H                     :      0.017u      0.117s      0.085w     34 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     34 calls
HF: Guess                           :      7.050u      0.267s      4.620w     34 calls
| SAD Guess                         :      6.900u      0.267s      4.521w     34 calls
HF: Form G                          :      0.050u      0.000s      0.043w    238 calls
| JK: D                             :      0.000u      0.000s      0.003w    238 calls
| JK: USO2AO                        :      0.017u      0.000s      0.006w    238 calls
| JK: JK                            :      0.017u      0.000s      0.020w    238 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.018w    238 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    238 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w    238 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.006w    238 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w    238 calls
HF: Form F                          :      0.017u      0.000s      0.005w    238 calls
HF: Form D                          :      0.000u      0.000s      0.003w    238 calls
HF: DIIS                            :      0.283u      0.067s      0.221w    204 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.040w    204 calls
| DIISManager::extrapolate          :      0.067u      0.050s      0.031w    204 calls
| | bMatrix setup                   :      0.017u      0.017s      0.010w    204 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.010w    204 calls
| | New vector                      :      0.000u      0.033s      0.007w    204 calls
HF: Form C                          :      0.017u      0.000s      0.013w    204 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w     28 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w     78 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     16 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     56 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 19:23:48 2020
Timers Off: Wed Jul 15 21:58:10 2020

Wall Time:     9262.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
DFH: initialize()                   :      0.050u      0.000s      0.041w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.000w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.100u      0.000s      0.061w      1 calls
SAD Guess                           :      0.083u      0.000s      0.058w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      3 calls
JK: D                               :      0.000u      0.000s      0.000w      3 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      3 calls
JK: JK                              :      0.000u      0.000s      0.001w      3 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      3 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      3 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      3 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      3 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.003w      2 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      2 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.000w      2 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      2 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      2 calls
New vector                          :      0.000u      0.000s      0.000w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     14 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w     39 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      4 calls
CIWave: s3                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
DFH: initialize()                   :      0.050u      0.000s      0.041w      1 calls
| DFH: AO Construction              :      0.000u      0.000s      0.000w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.100u      0.000s      0.061w      1 calls
| SAD Guess                         :      0.083u      0.000s      0.058w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      3 calls
| JK: D                             :      0.000u      0.000s      0.000w      3 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      3 calls
| JK: JK                            :      0.000u      0.000s      0.001w      3 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      3 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      3 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      3 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      3 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.003w      2 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      2 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.000w      2 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      2 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      2 calls
| | New vector                      :      0.000u      0.000s      0.000w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     14 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w     39 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      4 calls
CIWave: s3                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 19:19:19 2020
Timers Off: Wed Jul 15 21:58:10 2020

Wall Time:     9531.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 19:21:43 2020
Timers Off: Wed Jul 15 21:58:10 2020

Wall Time:     9387.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.783u      0.017s      1.685w    121 calls
DFH: initialize()                   :      9.017u      0.517s      5.907w    121 calls
DFH: AO Construction                :      0.150u      0.000s      0.114w    121 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.009w    121 calls
HF: Form core H                     :      0.067u      0.383s      0.286w    121 calls
HF: Form S/X                        :      0.017u      0.017s      0.018w    121 calls
HF: Guess                           :     17.783u      0.517s     11.373w    121 calls
SAD Guess                           :     17.267u      0.500s     11.040w    121 calls
HF: Form G                          :      0.150u      0.017s      0.140w    771 calls
JK: D                               :      0.033u      0.000s      0.008w    771 calls
JK: USO2AO                          :      0.000u      0.000s      0.017w    771 calls
JK: JK                              :      0.067u      0.017s      0.071w    771 calls
DFH: compute_JK()                   :      0.067u      0.017s      0.064w    771 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.002w    771 calls
DFH: compute_J                      :      0.000u      0.000s      0.014w    771 calls
DFH: compute_K                      :      0.017u      0.000s      0.032w    771 calls
JK: AO2USO                          :      0.000u      0.000s      0.008w    771 calls
HF: Form F                          :      0.017u      0.000s      0.012w    771 calls
HF: Form D                          :      0.050u      0.000s      0.021w    771 calls
HF: DIIS                            :      0.733u      0.217s      0.672w    650 calls
DIISManager::add_entry              :      0.033u      0.167s      0.136w    650 calls
DIISManager::extrapolate            :      0.150u      0.033s      0.099w    650 calls
bMatrix setup                       :      0.050u      0.000s      0.035w    650 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.028w    650 calls
New vector                          :      0.033u      0.017s      0.024w    650 calls
HF: Form C                          :      0.017u      0.000s      0.031w    650 calls
CIWave: CIvect write                :      0.017u      0.000s      0.012w    646 calls
CIWave: CIvect read                 :      0.033u      0.000s      0.035w   3806 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    223 calls
CIWave: s3                          :      0.000u      0.000s      0.004w    686 calls
ccenergy                            :      4.550u     15.200s     12.231w     30 calls
F build                             :      0.233u      0.217s      0.252w    274 calls
Wmbej build                         :      0.400u      0.233s      0.288w    274 calls
C->Wmbej                            :      0.000u      0.067s      0.028w    274 calls
F->Wmbej                            :      0.067u      0.050s      0.074w    274 calls
E->Wmbej                            :      0.183u      0.067s      0.070w    274 calls
X->Wmbej                            :      0.133u      0.050s      0.096w    274 calls
Z                                   :      0.033u      0.000s      0.015w    274 calls
T2 Build                            :      0.667u      0.383s      0.638w    274 calls
BT2                                 :      0.150u      0.050s      0.087w    274 calls
ABCD:new                            :      0.150u      0.050s      0.085w    274 calls
ABCD:S                              :      0.000u      0.017s      0.014w    274 calls
ABCD:A                              :      0.050u      0.000s      0.013w    274 calls
ABCD:axpy                           :      0.033u      0.017s      0.015w    274 calls
FT2                                 :      0.017u      0.017s      0.029w    274 calls
WmbejT2                             :      0.183u      0.083s      0.140w    274 calls
CT2                                 :      0.183u      0.200s      0.256w    274 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.783u      0.017s      1.685w    121 calls
DFH: initialize()                   :      9.017u      0.517s      5.907w    121 calls
| DFH: AO Construction              :      0.150u      0.000s      0.114w    121 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.009w    121 calls
HF: Form core H                     :      0.067u      0.383s      0.286w    121 calls
HF: Form S/X                        :      0.017u      0.017s      0.018w    121 calls
HF: Guess                           :     17.783u      0.517s     11.373w    121 calls
| SAD Guess                         :     17.267u      0.500s     11.040w    121 calls
HF: Form G                          :      0.150u      0.017s      0.140w    771 calls
| JK: D                             :      0.033u      0.000s      0.008w    771 calls
| JK: USO2AO                        :      0.000u      0.000s      0.017w    771 calls
| JK: JK                            :      0.067u      0.017s      0.071w    771 calls
| | DFH: compute_JK()               :      0.067u      0.017s      0.064w    771 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.002w    771 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.014w    771 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.032w    771 calls
| JK: AO2USO                        :      0.000u      0.000s      0.008w    771 calls
HF: Form F                          :      0.017u      0.000s      0.012w    771 calls
HF: Form D                          :      0.050u      0.000s      0.021w    771 calls
HF: DIIS                            :      0.733u      0.217s      0.672w    650 calls
| DIISManager::add_entry            :      0.033u      0.167s      0.136w    650 calls
| DIISManager::extrapolate          :      0.150u      0.033s      0.099w    650 calls
| | bMatrix setup                   :      0.050u      0.000s      0.035w    650 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.028w    650 calls
| | New vector                      :      0.033u      0.017s      0.024w    650 calls
HF: Form C                          :      0.017u      0.000s      0.031w    650 calls
CIWave: CIvect write                :      0.017u      0.000s      0.012w    646 calls
CIWave: CIvect read                 :      0.033u      0.000s      0.035w   3806 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    223 calls
CIWave: s3                          :      0.000u      0.000s      0.004w    686 calls
ccenergy                            :      4.550u     15.200s     12.231w     30 calls
| F build                           :      0.233u      0.217s      0.252w    274 calls
| Wmbej build                       :      0.400u      0.233s      0.288w    274 calls
| | C->Wmbej                        :      0.000u      0.067s      0.028w    274 calls
| | F->Wmbej                        :      0.067u      0.050s      0.074w    274 calls
| | E->Wmbej                        :      0.183u      0.067s      0.070w    274 calls
| | X->Wmbej                        :      0.133u      0.050s      0.096w    274 calls
| Z                                 :      0.033u      0.000s      0.015w    274 calls
| T2 Build                          :      0.667u      0.383s      0.638w    274 calls
| | BT2                             :      0.150u      0.050s      0.087w    274 calls
| | | ABCD:new                      :      0.150u      0.050s      0.085w    274 calls
| | | | ABCD:S                      :      0.000u      0.017s      0.014w    274 calls
| | | | ABCD:A                      :      0.050u      0.000s      0.013w    274 calls
| | | | ABCD:axpy                   :      0.033u      0.017s      0.015w    274 calls
| | FT2                             :      0.017u      0.017s      0.029w    274 calls
| | WmbejT2                         :      0.183u      0.083s      0.140w    274 calls
| | CT2                             :      0.183u      0.200s      0.256w    274 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Thu Jul 16 10:37:42 2020
Timers Off: Thu Jul 16 11:01:32 2020

Wall Time:     1430.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.900u      0.117s      2.576w     60 calls
DFH: initialize()                   :      7.733u      0.483s      7.298w     60 calls
DFH: AO Construction                :      0.100u      0.000s      0.123w     60 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w     60 calls
HF: Form core H                     :      0.150u      0.433s      0.391w     60 calls
HF: Form S/X                        :      0.017u      0.000s      0.031w     60 calls
HF: Guess                           :     20.767u      1.100s     19.105w     60 calls
SAD Guess                           :     20.317u      1.067s     18.631w     60 calls
HF: Form G                          :      0.450u      0.033s      0.262w    496 calls
JK: D                               :      0.017u      0.017s      0.018w    496 calls
JK: USO2AO                          :      0.133u      0.000s      0.038w    496 calls
JK: JK                              :      0.150u      0.017s      0.096w    496 calls
DFH: compute_JK()                   :      0.150u      0.017s      0.082w    496 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.003w    496 calls
DFH: compute_J                      :      0.067u      0.017s      0.019w    496 calls
DFH: compute_K                      :      0.033u      0.000s      0.026w    496 calls
JK: AO2USO                          :      0.033u      0.000s      0.023w    496 calls
HF: Form F                          :      0.017u      0.000s      0.027w    496 calls
HF: Form D                          :      0.000u      0.000s      0.024w    496 calls
HF: DIIS                            :      1.433u      0.283s      1.454w    436 calls
DIISManager::add_entry              :      0.067u      0.167s      0.252w    436 calls
DIISManager::extrapolate            :      0.233u      0.100s      0.194w    436 calls
bMatrix setup                       :      0.033u      0.083s      0.081w    436 calls
bMatrix pseudoinverse               :      0.117u      0.000s      0.054w    436 calls
New vector                          :      0.050u      0.017s      0.039w    436 calls
HF: Form C                          :      0.050u      0.017s      0.073w    436 calls
CIWave: CIvect write                :      0.000u      0.000s      0.033w    210 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.013w    585 calls
CIWave: s2                          :      0.017u      0.000s      0.001w    120 calls
CIWave: s3                          :      0.000u      0.000s      0.009w    420 calls
ccenergy                            :      5.467u     19.233s     21.672w     15 calls
F build                             :      0.250u      0.200s      0.382w    161 calls
Wmbej build                         :      0.267u      0.283s      0.470w    161 calls
C->Wmbej                            :      0.033u      0.050s      0.052w    161 calls
F->Wmbej                            :      0.117u      0.067s      0.156w    161 calls
E->Wmbej                            :      0.033u      0.100s      0.120w    161 calls
X->Wmbej                            :      0.033u      0.033s      0.116w    161 calls
Z                                   :      0.000u      0.000s      0.030w    161 calls
T2 Build                            :      0.583u      0.383s      0.870w    161 calls
BT2                                 :      0.133u      0.033s      0.143w    161 calls
ABCD:new                            :      0.133u      0.017s      0.137w    161 calls
ABCD:S                              :      0.000u      0.000s      0.022w    161 calls
ABCD:A                              :      0.033u      0.017s      0.022w    161 calls
ABCD:axpy                           :      0.067u      0.000s      0.035w    161 calls
FT2                                 :      0.017u      0.000s      0.061w    161 calls
WmbejT2                             :      0.100u      0.183s      0.252w    161 calls
CT2                                 :      0.167u      0.133s      0.258w    161 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.900u      0.117s      2.576w     60 calls
DFH: initialize()                   :      7.733u      0.483s      7.298w     60 calls
| DFH: AO Construction              :      0.100u      0.000s      0.123w     60 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w     60 calls
HF: Form core H                     :      0.150u      0.433s      0.391w     60 calls
HF: Form S/X                        :      0.017u      0.000s      0.031w     60 calls
HF: Guess                           :     20.767u      1.100s     19.105w     60 calls
| SAD Guess                         :     20.317u      1.067s     18.631w     60 calls
HF: Form G                          :      0.450u      0.033s      0.262w    496 calls
| JK: D                             :      0.017u      0.017s      0.018w    496 calls
| JK: USO2AO                        :      0.133u      0.000s      0.038w    496 calls
| JK: JK                            :      0.150u      0.017s      0.096w    496 calls
| | DFH: compute_JK()               :      0.150u      0.017s      0.082w    496 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.003w    496 calls
| | | DFH: compute_J                :      0.067u      0.017s      0.019w    496 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.026w    496 calls
| JK: AO2USO                        :      0.033u      0.000s      0.023w    496 calls
HF: Form F                          :      0.017u      0.000s      0.027w    496 calls
HF: Form D                          :      0.000u      0.000s      0.024w    496 calls
HF: DIIS                            :      1.433u      0.283s      1.454w    436 calls
| DIISManager::add_entry            :      0.067u      0.167s      0.252w    436 calls
| DIISManager::extrapolate          :      0.233u      0.100s      0.194w    436 calls
| | bMatrix setup                   :      0.033u      0.083s      0.081w    436 calls
| | bMatrix pseudoinverse           :      0.117u      0.000s      0.054w    436 calls
| | New vector                      :      0.050u      0.017s      0.039w    436 calls
HF: Form C                          :      0.050u      0.017s      0.073w    436 calls
CIWave: CIvect write                :      0.000u      0.000s      0.033w    210 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.013w    585 calls
CIWave: s2                          :      0.017u      0.000s      0.001w    120 calls
CIWave: s3                          :      0.000u      0.000s      0.009w    420 calls
ccenergy                            :      5.467u     19.233s     21.672w     15 calls
| F build                           :      0.250u      0.200s      0.382w    161 calls
| Wmbej build                       :      0.267u      0.283s      0.470w    161 calls
| | C->Wmbej                        :      0.033u      0.050s      0.052w    161 calls
| | F->Wmbej                        :      0.117u      0.067s      0.156w    161 calls
| | E->Wmbej                        :      0.033u      0.100s      0.120w    161 calls
| | X->Wmbej                        :      0.033u      0.033s      0.116w    161 calls
| Z                                 :      0.000u      0.000s      0.030w    161 calls
| T2 Build                          :      0.583u      0.383s      0.870w    161 calls
| | BT2                             :      0.133u      0.033s      0.143w    161 calls
| | | ABCD:new                      :      0.133u      0.017s      0.137w    161 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.022w    161 calls
| | | | ABCD:A                      :      0.033u      0.017s      0.022w    161 calls
| | | | ABCD:axpy                   :      0.067u      0.000s      0.035w    161 calls
| | FT2                             :      0.017u      0.000s      0.061w    161 calls
